sonido, prediccion
"timbre","timbre"
"timbre","timbre"
"timbre","timbre"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"puerta","puerta"
"puerta","puerta"
"puerta","puerta"
"puerta","puerta"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"conversacion","conversacion"
"conversacion","conversacion"
"conversacion","conversacion"
"conversacion","conversacion"
"conversacion","conversacion"
"conversacion","conversacion"
"conversacion","conversacion"
"conversacion","conversacion"
"conversacion","conversacion"
"conversacion","conversacion"
"conversacion","persiana"
"conversacion","conversacion"
"conversacion","conversacion"
"conversacion","conversacion"
"conversacion","conversacion"
"conversacion","conversacion"
"conversacion","conversacion"
"conversacion","conversacion"
"conversacion","conversacion"
"conversacion","conversacion"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"despertador","despertador"
"despertador","despertador"
"despertador","despertador"
"despertador","despertador"
"despertador","despertador"
"despertador","despertador"
"despertador","despertador"
"despertador","despertador"
"despertador","despertador"
"despertador","despertador"
"despertador","despertador"
"despertador","despertador"
"despertador","despertador"
"despertador","despertador"
"despertador","despertador"
"despertador","despertador"
"despertador","despertador"
"despertador","despertador"
"despertador","despertador"
"despertador","despertador"
"despertador","despertador"
"despertador","despertador"
"despertador","despertador"
"despertador","despertador"
"despertador","despertador"
"despertador","despertador"
"despertador","despertador"
"despertador","despertador"
"despertador","despertador"
"despertador","despertador"
"despertador","despertador"
"despertador","despertador"
"despertador","despertador"
"despertador","despertador"
"despertador","despertador"
"despertador","despertador"
"despertador","despertador"
"despertador","despertador"
"despertador","despertador"
"despertador","despertador"
"despertador","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"persiana","persiana"
"persiana","persiana"
"persiana","persiana"
"persiana","persiana"
"persiana","persiana"
"persiana","persiana"
"persiana","persiana"
"persiana","persiana"
"persiana","persiana"
"persiana","persiana"
"persiana","persiana"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"impresora","idle"
"impresora","impresora"
"impresora","impresora"
"impresora","impresora"
"impresora","impresora"
"impresora","impresora"
"impresora","impresora"
"impresora","impresora"
"impresora","impresora"
"impresora","impresora"
"impresora","impresora"
"impresora","impresora"
"impresora","impresora"
"impresora","impresora"
"impresora","timbre"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
