sonido, prediccion
"timbre","timbre"
"timbre","timbre"
"timbre","timbre"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"puerta","idle"
"puerta","microondas"
"puerta","puerta"
"puerta","impresora"
"puerta","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"conversacion","conversacion"
"conversacion","conversacion"
"conversacion","conversacion"
"conversacion","conversacion"
"conversacion","conversacion"
"conversacion","conversacion"
"conversacion","conversacion"
"conversacion","conversacion"
"conversacion","conversacion"
"conversacion","conversacion"
"conversacion","conversacion"
"conversacion","conversacion"
"conversacion","conversacion"
"conversacion","conversacion"
"conversacion","conversacion"
"conversacion","conversacion"
"conversacion","conversacion"
"conversacion","conversacion"
"conversacion","conversacion"
"conversacion","conversacion"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","impresora"
"idle","idle"
"idle","impresora"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"cubiertos_sartenes","idle"
"cubiertos_sartenes","cubiertos_sartenes"
"cubiertos_sartenes","cubiertos_sartenes"
"cubiertos_sartenes","cubiertos_sartenes"
"cubiertos_sartenes","cubiertos_sartenes"
"cubiertos_sartenes","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"estractor","impresora"
"estractor","microondas"
"estractor","microondas"
"estractor","microondas"
"estractor","microondas"
"estractor","microondas"
"estractor","microondas"
"estractor","microondas"
"estractor","microondas"
"estractor","microondas"
"estractor","microondas"
"estractor","microondas"
"estractor","microondas"
"estractor","microondas"
"estractor","microondas"
"estractor","microondas"
"estractor","microondas"
"estractor","microondas"
"estractor","microondas"
"estractor","microondas"
"estractor","microondas"
"estractor","microondas"
"estractor","microondas"
"estractor","microondas"
"estractor","microondas"
"estractor","microondas"
"estractor","microondas"
"estractor","microondas"
"estractor","microondas"
"estractor","microondas"
"estractor","microondas"
"estractor","microondas"
"estractor","microondas"
"estractor","microondas"
"estractor","microondas"
"estractor","microondas"
"estractor","microondas"
"estractor","microondas"
"estractor","microondas"
"estractor","microondas"
"estractor","microondas"
"estractor","microondas"
"estractor","microondas"
"estractor","microondas"
"estractor","microondas"
"estractor","microondas"
"estractor","microondas"
"estractor","microondas"
"estractor","microondas"
"estractor","microondas"
"estractor","microondas"
"estractor","microondas"
"estractor","microondas"
"estractor","microondas"
"estractor","microondas"
"estractor","microondas"
"estractor","microondas"
"estractor","microondas"
"estractor","microondas"
"estractor","microondas"
"estractor","microondas"
"estractor","microondas"
"estractor","microondas"
"estractor","microondas"
"estractor","microondas"
"estractor","microondas"
"estractor","microondas"
"estractor","microondas"
"estractor","microondas"
"estractor","microondas"
"estractor","microondas"
"estractor","microondas"
"estractor","microondas"
"estractor","microondas"
"estractor","microondas"
"estractor","microondas"
"estractor","microondas"
"estractor","microondas"
"estractor","microondas"
"estractor","microondas"
"estractor","microondas"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"grifo_cocina","cubiertos_sartenes"
"grifo_cocina","cubiertos_sartenes"
"grifo_cocina","cubiertos_sartenes"
"grifo_cocina","cubiertos_sartenes"
"grifo_cocina","cubiertos_sartenes"
"grifo_cocina","grifo_cocina"
"grifo_cocina","grifo_cocina"
"grifo_cocina","grifo_cocina"
"grifo_cocina","cubiertos_sartenes"
"grifo_cocina","cubiertos_sartenes"
"grifo_cocina","grifo_cocina"
"grifo_cocina","cubiertos_sartenes"
"grifo_cocina","cubiertos_sartenes"
"grifo_cocina","grifo_cocina"
"grifo_cocina","grifo_cocina"
"grifo_cocina","cubiertos_sartenes"
"grifo_cocina","grifo_cocina"
"grifo_cocina","grifo_cocina"
"grifo_cocina","cubiertos_sartenes"
"grifo_cocina","grifo_cocina"
"grifo_cocina","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"microondas","impresora"
"microondas","microondas"
"microondas","impresora"
"microondas","microondas"
"microondas","impresora"
"microondas","microondas"
"microondas","persiana"
"microondas","persiana"
"microondas","microondas"
"microondas","impresora"
"microondas","microondas"
"microondas","impresora"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
