sonido, prediccion
"timbre","timbre"
"timbre","timbre"
"timbre","timbre"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","impresora"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"puerta","puerta"
"puerta","puerta"
"puerta","puerta"
"puerta","puerta"
"puerta","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"conversacion","conversacion"
"conversacion","conversacion"
"conversacion","conversacion"
"conversacion","conversacion"
"conversacion","conversacion"
"conversacion","conversacion"
"conversacion","conversacion"
"conversacion","conversacion"
"conversacion","conversacion"
"conversacion","conversacion"
"conversacion","conversacion"
"conversacion","conversacion"
"conversacion","conversacion"
"conversacion","conversacion"
"conversacion","conversacion"
"conversacion","conversacion"
"conversacion","conversacion"
"conversacion","conversacion"
"conversacion","conversacion"
"conversacion","conversacion"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","impresora"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","impresora"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","impresora"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"cubiertos_sartenes","idle"
"cubiertos_sartenes","cubiertos_sartenes"
"cubiertos_sartenes","cubiertos_sartenes"
"cubiertos_sartenes","cubiertos_sartenes"
"cubiertos_sartenes","cubiertos_sartenes"
"cubiertos_sartenes","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"estractor","idle"
"estractor","estractor"
"estractor","estractor"
"estractor","estractor"
"estractor","estractor"
"estractor","estractor"
"estractor","estractor"
"estractor","estractor"
"estractor","estractor"
"estractor","estractor"
"estractor","estractor"
"estractor","estractor"
"estractor","estractor"
"estractor","estractor"
"estractor","estractor"
"estractor","estractor"
"estractor","estractor"
"estractor","estractor"
"estractor","estractor"
"estractor","estractor"
"estractor","estractor"
"estractor","estractor"
"estractor","estractor"
"estractor","estractor"
"estractor","estractor"
"estractor","estractor"
"estractor","estractor"
"estractor","estractor"
"estractor","estractor"
"estractor","estractor"
"estractor","estractor"
"estractor","estractor"
"estractor","estractor"
"estractor","estractor"
"estractor","estractor"
"estractor","estractor"
"estractor","estractor"
"estractor","estractor"
"estractor","estractor"
"estractor","estractor"
"estractor","estractor"
"estractor","estractor"
"estractor","estractor"
"estractor","estractor"
"estractor","estractor"
"estractor","estractor"
"estractor","estractor"
"estractor","estractor"
"estractor","estractor"
"estractor","estractor"
"estractor","estractor"
"estractor","estractor"
"estractor","estractor"
"estractor","estractor"
"estractor","estractor"
"estractor","estractor"
"estractor","estractor"
"estractor","estractor"
"estractor","estractor"
"estractor","estractor"
"estractor","estractor"
"estractor","estractor"
"estractor","estractor"
"estractor","estractor"
"estractor","estractor"
"estractor","estractor"
"estractor","estractor"
"estractor","estractor"
"estractor","estractor"
"estractor","estractor"
"estractor","estractor"
"estractor","estractor"
"estractor","estractor"
"estractor","estractor"
"estractor","estractor"
"estractor","estractor"
"estractor","estractor"
"estractor","estractor"
"estractor","estractor"
"estractor","estractor"
"estractor","impresora"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"grifo_cocina","grifo_cocina"
"grifo_cocina","grifo_cocina"
"grifo_cocina","grifo_cocina"
"grifo_cocina","grifo_cocina"
"grifo_cocina","grifo_cocina"
"grifo_cocina","grifo_cocina"
"grifo_cocina","grifo_cocina"
"grifo_cocina","grifo_cocina"
"grifo_cocina","grifo_cocina"
"grifo_cocina","grifo_cocina"
"grifo_cocina","grifo_cocina"
"grifo_cocina","grifo_cocina"
"grifo_cocina","grifo_cocina"
"grifo_cocina","grifo_cocina"
"grifo_cocina","grifo_cocina"
"grifo_cocina","grifo_cocina"
"grifo_cocina","grifo_cocina"
"grifo_cocina","grifo_cocina"
"grifo_cocina","grifo_cocina"
"grifo_cocina","grifo_cocina"
"grifo_cocina","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"microondas","idle"
"microondas","microondas"
"microondas","microondas"
"microondas","microondas"
"microondas","microondas"
"microondas","microondas"
"microondas","aspirador"
"microondas","microondas"
"microondas","microondas"
"microondas","microondas"
"microondas","microondas"
"microondas","microondas"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
