sonido, prediccion
"timbre","timbre"
"timbre","timbre"
"timbre","timbre"
"timbre","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"puerta","idle"
"puerta","puerta"
"puerta","puerta"
"puerta","puerta"
"puerta","puerta"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"conversacion","conversacion"
"conversacion","conversacion"
"conversacion","conversacion"
"conversacion","conversacion"
"conversacion","conversacion"
"conversacion","conversacion"
"conversacion","conversacion"
"conversacion","grifo_cocina"
"conversacion","conversacion"
"conversacion","conversacion"
"conversacion","conversacion"
"conversacion","conversacion"
"conversacion","conversacion"
"conversacion","conversacion"
"conversacion","conversacion"
"conversacion","conversacion"
"conversacion","conversacion"
"conversacion","conversacion"
"conversacion","conversacion"
"conversacion","conversacion"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"aspirador","aspirador"
"aspirador","aspirador"
"aspirador","aspirador"
"aspirador","aspirador"
"aspirador","aspirador"
"aspirador","aspirador"
"aspirador","aspirador"
"aspirador","aspirador"
"aspirador","aspirador"
"aspirador","aspirador"
"aspirador","aspirador"
"aspirador","aspirador"
"aspirador","aspirador"
"aspirador","aspirador"
"aspirador","aspirador"
"aspirador","aspirador"
"aspirador","aspirador"
"aspirador","aspirador"
"aspirador","aspirador"
"aspirador","aspirador"
"aspirador","aspirador"
"aspirador","aspirador"
"aspirador","aspirador"
"aspirador","aspirador"
"aspirador","aspirador"
"aspirador","aspirador"
"aspirador","aspirador"
"aspirador","aspirador"
"aspirador","aspirador"
"aspirador","aspirador"
"aspirador","aspirador"
"aspirador","aspirador"
"aspirador","aspirador"
"aspirador","aspirador"
"aspirador","aspirador"
"aspirador","aspirador"
"aspirador","aspirador"
"aspirador","aspirador"
"aspirador","aspirador"
"aspirador","aspirador"
"aspirador","aspirador"
"aspirador","aspirador"
"aspirador","aspirador"
"aspirador","aspirador"
"aspirador","aspirador"
"aspirador","aspirador"
"aspirador","aspirador"
"aspirador","aspirador"
"aspirador","aspirador"
"aspirador","aspirador"
"aspirador","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"persiana","persiana"
"persiana","persiana"
"persiana","persiana"
"persiana","persiana"
"persiana","persiana"
"persiana","persiana"
"persiana","persiana"
"persiana","persiana"
"persiana","persiana"
"persiana","persiana"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"telefono","telefono"
"telefono","telefono"
"telefono","telefono"
"telefono","telefono"
"telefono","telefono"
"telefono","telefono"
"telefono","telefono"
"telefono","telefono"
"telefono","telefono"
"telefono","telefono"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
"idle","idle"
