aspirador,cisterna,conversacion,cubiertos_sartenes,despertador,ducha,estractor,grifo_banio,grifo_cocina,impresora,microondas,persiana,puerta,telefono,timbre
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,98,0,0,0,0,0,0,1,0,0,0,0,0,
0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,
0,0,0,1,0,97,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,
0,0,0,0,0,1,0,98,1,0,0,0,0,1,0,
0,0,0,0,0,1,0,2,98,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,96,0,0,1,0,0,
0,0,0,0,0,0,0,0,0,2,100,0,0,0,0,
0,0,2,0,0,0,0,0,0,1,0,100,0,0,0,
0,0,0,0,0,1,0,0,0,0,0,0,99,0,1,
0,0,0,0,0,0,0,0,1,0,0,0,0,99,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,
