precision,recall,f1-score,support
0.9801980198019802,0.99,0.9850746268656716,100.0
1.0,0.99,0.9949748743718593,100.0
0.9680851063829787,0.91,0.9381443298969071,100.0
0.98989898989899,0.98,0.9849246231155778,100.0
1.0,1.0,1.0,100.0
0.9038461538461539,0.94,0.9215686274509804,100.0
1.0,1.0,1.0,100.0
0.98,0.98,0.98,100.0
0.9578947368421052,0.91,0.9333333333333333,100.0
0.9134615384615384,0.95,0.9313725490196078,100.0
0.9680851063829787,0.91,0.9381443298969071,100.0
0.912621359223301,0.94,0.9261083743842364,100.0
0.8672566371681416,0.98,0.9201877934272301,100.0
1.0,0.99,0.9949748743718593,100.0
1.0,0.95,0.9743589743589743,100.0
0.9613333333333334,0.9613333333333334,0.9613333333333334,0.9613333333333334
0.9627565098672112,0.9613333333333333,0.9615444873662097,1500.0
0.9627565098672111,0.9613333333333334,0.9615444873662098,1500.0
