precision,recall,f1-score,support
1.0,1.0,1.0,20.0
0.26666666666666666,0.6666666666666666,0.3809523809523809,6.0
0.0,0.0,0.0,81.0
1.0,0.42857142857142855,0.6,21.0
0.0,0.0,0.0,0.0
0.05813953488372093,0.4166666666666667,0.10204081632653061,12.0
0.0,0.0,0.0,0.0
1.0,0.2,0.33333333333333337,5.0
1.0,1.0,1.0,3.0
0.9473684210526315,0.9782608695652174,0.9625668449197862,92.0
0.55,0.55,0.55,0.55
0.527217462260302,0.4690165631469979,0.4378893375532031,240.0
0.5768982048143614,0.55,0.5388875853371652,240.0
