precision,recall,f1-score,support
1.0,1.0,1.0,100.0
1.0,1.0,1.0,100.0
0.98989898989899,0.98,0.9849246231155778,100.0
1.0,0.99,0.9949748743718593,100.0
1.0,1.0,1.0,100.0
0.9897959183673469,0.97,0.9797979797979798,100.0
1.0,1.0,1.0,100.0
0.9702970297029703,0.98,0.9751243781094527,100.0
0.9702970297029703,0.98,0.9751243781094527,100.0
0.9896907216494846,0.96,0.9746192893401014,100.0
0.9803921568627451,1.0,0.99009900990099,100.0
0.970873786407767,1.0,0.9852216748768473,100.0
0.9801980198019802,0.99,0.9850746268656716,100.0
0.99,0.99,0.99,100.0
1.0,0.99,0.9949748743718593,100.0
0.9886666666666667,0.9886666666666667,0.9886666666666667,0.9886666666666667
0.9887629101596169,0.9886666666666667,0.9886623805906526,1500.0
0.988762910159617,0.9886666666666667,0.9886623805906529,1500.0
